"№ з/п","Повне найменування","Код суб'єкта управління","Назва суб'єкта управління","Організаційна форма cуб'єкта господарювання (зокрема державні підприємства - ДП, господарські товариства з КПД >50% - ГТ)"
"449","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНА ЦИРКОВА КОМПАНІЯ УКРАЇНИ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"450","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНИЙ ОДЕСЬКИЙ ФІЛАРМОНІЙНИЙ ОРКЕСТР""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"451","НАЦІОНАЛЬНИЙ АНСАМБЛЬ СОЛІСТІВ ""КИЇВСЬКА КАМЕРАТА""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"452","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДИРЕКЦІЯ БУДИНКУ ДЕРЖАВНИХ ХУДОЖНІХ КОЛЕКТИВІВ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"453","НАЦІОНАЛЬНИЙ КАМЕРНИЙ АНСАМБЛЬ ""КИЇВСЬКІ СОЛІСТИ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"454","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНА ТУРИСТИЧНА ОРГАНІЗАЦІЯ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"455","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНЕ КОНЦЕРТНЕ АГЕНТСТВО ""УКРАЇНА""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"456","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНА ТЕАТРАЛЬНО-ВИДОВИЩНА АГЕНЦІЯ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"457","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТВОРЧО-ВИРОБНИЧИЙ ТА НАВЧАЛЬНО-ДОСЛІДНИЙ ЦЕНТР РОЗВИТКУ СУЧАСНОГО МИСТЕЦТВА""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"458","КАЗЕННЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ ГАСТРОЛЬНО-КОНЦЕРТНИЙ ЦЕНТР УКРАЇНИ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"459","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНИЙ ТУРИСТИЧНИЙ ОФІС""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"460","ІВАНО-ФРАНКІВСЬКИЙ НАЦІОНАЛЬНИЙ АКАДЕМІЧНИЙ ГУЦУЛЬСЬКИЙ АНСАМБЛЬ ПІСНІ І ТАНЦЮ ""ГУЦУЛІЯ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"461","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВСЬКИЙ НАЦІОНАЛЬНИЙ АКАДЕМІЧНИЙ ТЕАТР ОПЕРИ ТА БАЛЕТУ ІМЕНІ М.В.ЛИСЕНКА""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"462","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КРИМСЬКИЙ ДІМ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"463","ДЕРЖАВНЕ УНІТАРНЕ ПІДПРИЄМСТВО ""ДИРЕКЦІЯ З БУДІВНИЦТВА ДРУГОЇ ЧЕРГИ НАЦІОНАЛЬНОГО МУЗЕЮ ""МЕМОРІАЛ ЖЕРТВ ГОЛОДОМОРУ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"464","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТР ЗАХИСТУ ІНФОРМАЦІЙНОГО ПРОСТОРУ УКРАЇНИ""","19094","МІНІСТЕРСТВО КУЛЬТУРИ УКРАЇНИ","ДП"
"465","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТРАЛЬНА УЧБОВО-ТРЕНУВАЛЬНА БАЗА ПО КОВЗАНЯРСЬКОМУ СПОРТУ ""ЛЬОДОВИЙ СТАДІОН""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"466","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНИЙ СПОРТИВНИЙ КОМПЛЕКС ""ОЛІМПІЙСЬКИЙ""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"467","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВОРОХТЯНСЬКА ВИСОКОГІРСЬКА НАВЧАЛЬНО-СПОРТИВНА БАЗА ""ЗАРОСЛЯК""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"468","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОЛІМПІЙСЬКИЙ НАВЧАЛЬНО-СПОРТИВНИЙ ЦЕНТР ""ЧЕРНІГІВ""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"469","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОЛІМПІЙСЬКИЙ НАВЧАЛЬНО-СПОРТИВНИЙ ЦЕНТР ""КОНЧА-ЗАСПА""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"470","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АРЕНА ЛЬВІВ""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"471","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПОРТИВНИЙ КОМПЛЕКС ""АТЛЕТ""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"472","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПОРТИВНИЙ КОМПЛЕКС ""АВАНГАРД""","19104","МІНІСТЕРСТВО МОЛОДІ ТА СПОРТУ УКРАЇНИ","ДП"
"473","ДЕРЖАВНЕ ГЕОФІЗИЧНЕ ПІДПРИЄМСТВО ""УКРГЕОФІЗИКА""","21077","ДЕРЖАВНА СЛУЖБА ГЕОЛОГІЇ ТА НАДР УКРАЇНИ","ДП"
"474","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ ІНФОРМАЦІЙНИЙ ГЕОЛОГІЧНИЙ ФОНД УКРАЇНИ""","21077","ДЕРЖАВНА СЛУЖБА ГЕОЛОГІЇ ТА НАДР УКРАЇНИ","ДП"
"475","КАЗЕННЕ ПІДПРИЄМСТВО ""КІРОВГЕОЛОГІЯ""","21077","ДЕРЖАВНА СЛУЖБА ГЕОЛОГІЇ ТА НАДР УКРАЇНИ","ДП"
"476","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКА ГЕОЛОГІЧНА КОМПАНІЯ""","21077","ДЕРЖАВНА СЛУЖБА ГЕОЛОГІЇ ТА НАДР УКРАЇНИ","ДП"
"477","НАЦІОНАЛЬНЕ ВИДАВНИЦТВО ДИТЯЧОЇ ЛІТЕРАТУРИ ""ВЕСЕЛКА""","21104","ДЕРЖАВНИЙ КОМІТЕТ ТЕЛЕБАЧЕННЯ І РАДІОМОВЛЕННЯ УКРАЇНИ","ДП"
"478","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКА СТУДІЯ ТЕЛЕВІЗІЙНИХ ФІЛЬМІВ ""УКРТЕЛЕФІЛЬМ""","21104","ДЕРЖАВНИЙ КОМІТЕТ ТЕЛЕБАЧЕННЯ І РАДІОМОВЛЕННЯ УКРАЇНИ","ДП"
"479","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВСЕУКРАЇНСЬКЕ ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ВИДАВНИЦТВО ""УКРАЇНСЬКА ЕНЦИКЛОПЕДІЯ"" ІМЕНІ М.П.БАЖАНА""","21104","ДЕРЖАВНИЙ КОМІТЕТ ТЕЛЕБАЧЕННЯ І РАДІОМОВЛЕННЯ УКРАЇНИ","ДП"
"480","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СУМСЬКА БІОЛОГІЧНА ФАБРИКА""","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"481","ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ КОНТРОЛЬНИЙ ІНСТИТУТ ВЕТЕРИНАРНИХ ПРЕПАРАТІВ ТА КОРМОВИХ ДОБАВОК","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"482","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ОБЛАСНИЙ ВИРОБНИЧО-ТЕХНІЧНИЙ ЦЕНТР СТАНДАРТИЗАЦІЇ, МЕТРОЛОГІЇ І ЯКОСТІ ПРОДУКЦІЇ""","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"483","ДЕРЖАВНИЙ НАУКОВО-КОНТРОЛЬНИЙ ІНСТИТУТ БІОТЕХНОЛОГІЇ І ШТАМІВ МІКРООРГАНІЗМІВ","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"484","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ТЕХНОЛОГІЧНИЙ ІНСТИТУТ ""ЛЬВІВХАРЧОПРОЕКТ""","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"485","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АГЕНТСТВО З ІДЕНТИФІКАЦІЇ І РЕЄСТРАЦІЇ ТВАРИН""","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"486","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖРЕЄСТРИ УКРАЇНИ""","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"487","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ СЕРВІСНИЙ ЦЕНТР УКРАЇНИ""","21204","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ","ДП"
"488","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІНФОРМАЦІЙНИЙ ЦЕНТР ПЕРСОНІФІКОВАНОГО ОБЛІКУ ПЕНСІЙНОГО ФОНДУ УКРАЇНИ""","22784","ПЕНСІЙНИЙ ФОНД УКРАЇНИ","ДП"
"489","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОКРЕМА БУДІВЕЛЬНА ДІЛЬНИЦЯ ДЕРЖАВНОЇ ПРИКОРДОННОЇ СЛУЖБИ УКРАЇНИ""","23094","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ ПРИКОРДОННОЇ СЛУЖБИ УКРАЇНИ ","ДП"
"490","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДИРЕКЦІЯ З БУДІВНИЦТВА ТА ОБСЛУГОВУВАННЯ ПРИКОРДОННОЇ ІНФРАСТРУКТУРИ""","23094","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ ПРИКОРДОННОЇ СЛУЖБИ УКРАЇНИ ","ДП"
"491","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ГОЛОВНИЙ НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР ДЕРЖПРАЦІ""","27072","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ПИТАНЬ ПРАЦІ","ДП"
"492","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ НАУКОВИЙ ФАРМАКОПЕЙНИЙ ЦЕНТР ЯКОСТІ ЛІКАРСЬКИХ ЗАСОБІВ""","27189","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ЛІКАРСЬКИХ ЗАСОБІВ ТА КОНТРОЛЮ ЗА НАРКОТИКАМИ","ДП"
"493","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЦЕНТРАЛЬНА ЛАБОРАТОРІЯ З АНАЛІЗУ ЯКОСТІ ЛІКАРСЬКИХ ЗАСОБІВ І МЕДИЧНОЇ ПРОДУКЦІЇ""","27189","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ЛІКАРСЬКИХ ЗАСОБІВ ТА КОНТРОЛЮ ЗА НАРКОТИКАМИ","ДП"
"494","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ФАРМАЦЕВТИЧНИЙ ІНСТИТУТ ЯКОСТІ""","27189","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З ЛІКАРСЬКИХ ЗАСОБІВ ТА КОНТРОЛЮ ЗА НАРКОТИКАМИ","ДП"
"495","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКА ДЕРЖАВНА РЕГІОНАЛЬНА ТЕХНІЧНА ІНСПЕКЦІЯ МІСЬКОГО ЕЛЕКТРОТРАНСПОРТУ""","27212","ДЕРЖАВНА СЛУЖБА УКРАЇНИ З БЕЗПЕКИ НА ТРАНСПОРТІ","ДП"
"496","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ ІНСТИТУТ МОРСЬКОГО ФЛОТУ УКРАЇНИ З ДОСЛІДНИМ ВИРОБНИЦТВОМ""","27218","ДЕРЖАВНА СЛУЖБА МОРСЬКОГО І ВНУТРІШНЬОГО ВОДНОГО ТРАНСПОРТУ ТА СУДНОПЛАВСТВА УКРАЇНИ","ДП"
"497","ДЕРЖАВНА УСТАНОВА ""ДЕРЖГІДРОГРАФІЯ""","27218","ДЕРЖАВНА СЛУЖБА МОРСЬКОГО І ВНУТРІШНЬОГО ВОДНОГО ТРАНСПОРТУ ТА СУДНОПЛАВСТВА УКРАЇНИ","ДП"
"498","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КЛАСИФІКАЦІЙНЕ ТОВАРИСТВО РЕГІСТР СУДНОПЛАВСТВА УКРАЇНИ""","27218","ДЕРЖАВНА СЛУЖБА МОРСЬКОГО І ВНУТРІШНЬОГО ВОДНОГО ТРАНСПОРТУ ТА СУДНОПЛАВСТВА УКРАЇНИ","ДП"
"499","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СЕРВІСНИЙ ЦЕНТР МОРСЬКОГО ТА РІЧКОВОГО ТРАНСПОРТУ""","27218","ДЕРЖАВНА СЛУЖБА МОРСЬКОГО І ВНУТРІШНЬОГО ВОДНОГО ТРАНСПОРТУ ТА СУДНОПЛАВСТВА УКРАЇНИ","ДП"
"500","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ РАДІО І ТЕЛЕБАЧЕННЯ""","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"501","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВСЬКИЙ ОБЛАСНИЙ РАДІОТЕЛЕВІЗІЙНИЙ ПЕРЕДАВАЛЬНИЙ ЦЕНТР""","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"502","КОНЦЕРН РАДІОМОВЛЕННЯ, РАДІОЗВ'ЯЗКУ ТА ТЕЛЕБАЧЕННЯ","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"503","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РАДІОТЕЛЕВІЗІЙНИЙ ПЕРЕДАВАЛЬНИЙ ЦЕНТР АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ""","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"504","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ОДЕСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ЗВ'ЯЗКУ""","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"505","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""РАДІОПЕРЕДАВАЛЬНИЙ ЦЕНТР""","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"506","ДЕРЖАВНЕ ПІДПРИЄМСТВО СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"507","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКІ СПЕЦІАЛЬНІ СИСТЕМИ""","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"508","КАЗЕННЕ ПІДПРИЄМСТВО ""УКРСПЕЦЗВ'ЯЗОК""","27226","АДМІНІСТРАЦІЯ ДЕРЖАВНОЇ СЛУЖБИ СПЕЦІАЛЬНОГО ЗВ'ЯЗКУ ТА ЗАХИСТУ ІНФОРМАЦІЇ УКРАЇНИ ","ДП"
"509","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИРОБНИЧО-СЕРВІСНИЙ ЦЕНТР У ЛЬВІВСЬКІЙ ОБЛАСТІ""","27307","ДЕРЖАВНА ФІСКАЛЬНА СЛУЖБА УКРАЇНИ","ДП"
"510","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ТРЕНІНГОВИЙ ЦЕНТР МАЙДАН""","27307","ДЕРЖАВНА ФІСКАЛЬНА СЛУЖБА УКРАЇНИ","ДП"
"511","ДЕРЖАВНЕ ПІДПРИЄМСТВО НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІНСТИТУТ АВТОМАТИКИ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"512","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКЕ ПРОЕКТНО-КОНСТРУКТОРСЬКЕ БЮРО АВТОМАТИЗОВАННИХ СИСТЕМ УПРАВЛІННЯ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"513","ДЕРЖАВНА НАУКОВО-ВИРОБНИЧА КОРПОРАЦІЯ ""КИЇВСЬКИЙ ІНСТИТУТ АВТОМАТИКИ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"514","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""КОМПЛЕКСНІ МЕТОДИ АВТОМАТИЗАЦІЇ"" (КОМЕТА)","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"515","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ПРИМАТ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"516","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АГРОГАЗ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"517","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АСУ ТЕРМО""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"518","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""РАДІОІЗОТОПНЕ ІНФОРМАЦІЙНЕ УСТАТКУВАННЯ І СИСТЕМИ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"519","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АСТЕС""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"520","НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО "" ІМТРЕС ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"521","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АВТОПРОМ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"522","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АСКОРТ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"523","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""КОМПЛЕКСНІ СИСТЕМИ АВТОМАТИЗАЦІЇ. НОВІ ТЕХНОЛОГІЇ."" (КСАНТ)","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"524","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АМІУС""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"525","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ІНДУСТРІАЛЬНІ КОМП'ЮТЕРНІ СИСТЕМИ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"526","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""СПЕЦАВТОМАТИКА""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"527","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ПРИЛАДИ, АВТОМАТИКА, СИСТЕМИ"" (ПАС)","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"528","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ЕЛОЇЗА"" ""ЕЛЕКТРОННЕ ОБЛАДНАННЯ І ЗАСОБИ АВТОМАТИЗАЦІЇ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"529","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АСУ АПК""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"530","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АСУ ЕКОЛОГІЯ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"531","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ДОЗА""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"532","ДЕРЖАВНЕ ПІДПРИЄМСТВО ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""РЕКТ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"533","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""АВТОМАТИЗОВАНІ ІНФОРМАЦІЙНІ СИСТЕМИ ТА ТЕХНОЛОГІЇ""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"534","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""БАГАТОФУНКЦІОНІЛЬНІ АВТОМАТИЗОВАНІ КОМП'ЮТЕРНІ СИСТЕМИ КЕРУВАННЯ ТЕХНОЛОГІЯМИ"" (БАКСТ)","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"535","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""СИСТЕМИ КОМП'ЮТЕРНОЇ АВТОМАТИЗАЦІЇ ТЕХНОЛОГІЙ"" (СКАТ)","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"536","ДЕРЖАВНЕ НАУКОВО-ТЕХНІЧНЕ ПІДПРИЄМСТВО ""НІСАР""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
"537","ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""НІЦА""","28356","ДЕРЖАВНА МІГРАЦІЙНА СЛУЖБА УКРАЇНИ","ДП"
